Year Opened,state,county,county_id,Number_of_Stations,id
2016,New York,Madison County,36053,1,36053
2016,New York,Monroe County,36055,3,36055
2016,New York,Nassau County,36059,5,36059
2016,New York,New York County,36061,79,36061
2016,New York,Niagara County,36063,1,36063
2016,New York,Orange County,36071,2,36071
2016,New York,Putnam County,36079,1,36079
2016,New York,Queens County,36081,1,36081
2016,New York,Richmond County,36085,3,36085
2016,New York,Rockland County,36087,2,36087
2016,New York,Saratoga County,36091,2,36091
2016,New York,Steuben County,36101,1,36101
2016,New York,Suffolk County,36103,9,36103
2016,New York,Sullivan County,36105,1,36105
2016,New York,Tompkins County,36109,2,36109
2016,New York,Ulster County,36111,3,36111
2016,New York,Warren County,36113,1,36113
2016,New York,Westchester County,36119,3,36119
2016,New York,Wyoming County,36121,1,36121
2016,New York,Yates County,36123,1,36123
2016,Ohio,Ashtabula County,39007,1,39007
2016,Ohio,Cuyahoga County,39035,10,39035
2016,Ohio,Delaware County,39041,1,39041
2016,Ohio,Fairfield County,39045,1,39045
2016,Ohio,Franklin County,39049,6,39049
2016,Ohio,Greene County,39057,1,39057
2016,Ohio,Hamilton County,39061,5,39061
2016,Ohio,Hancock County,39063,1,39063
2016,Ohio,Henry County,39069,1,39069
2016,Ohio,Lake County,39085,2,39085
2016,Ohio,Lucas County,39095,4,39095
2016,Ohio,Madison County,39097,1,39097
2016,Ohio,Montgomery County,39113,2,39113
2016,Ohio,Morrow County,39117,1,39117
2016,Ohio,Ottawa County,39123,1,39123
2016,Ohio,Portage County,39133,4,39133
2016,Ohio,Stark County,39151,1,39151
2016,Ohio,Summit County,39153,2,39153
2016,Ohio,Warren County,39165,2,39165
2016,Oklahoma,Canadian County,40017,1,40017
2016,Oklahoma,Carter County,40019,1,40019
2016,Oklahoma,Mayes County,40097,1,40097
2016,Oklahoma,Rogers County,40131,1,40131
2016,Oregon,Clackamas County,41005,3,41005
2016,Oregon,Clatsop County,41007,5,41007
2016,Oregon,Columbia County,41009,1,41009
2016,Oregon,Coos County,41011,4,41011
2016,Oregon,Curry County,41015,2,41015
2016,Oregon,Deschutes County,41017,5,41017
2016,Oregon,Douglas County,41019,2,41019
2016,Oregon,Gilliam County,41021,1,41021
2016,Oregon,Grant County,41023,2,41023
2016,Oregon,Hood River County,41027,2,41027
2016,Oregon,Jackson County,41029,2,41029
2016,Oregon,Jefferson County,41031,3,41031
2016,Oregon,Josephine County,41033,1,41033
2016,Oregon,Lane County,41039,9,41039
2016,Oregon,Lincoln County,41041,5,41041
2016,Oregon,Linn County,41043,2,41043
2016,Oregon,Marion County,41047,7,41047
2016,Oregon,Morrow County,41049,1,41049
2016,Oregon,Multnomah County,41051,7,41051
2016,Oregon,Polk County,41053,2,41053
2016,Oregon,Tillamook County,41057,2,41057
2016,Oregon,Wasco County,41065,1,41065
2016,Oregon,Washington County,41067,7,41067
2016,Oregon,Yamhill County,41071,3,41071
2016,Pennsylvania,Adams County,42001,2,42001
2016,Pennsylvania,Allegheny County,42003,11,42003
2016,Pennsylvania,Berks County,42011,1,42011
2016,Pennsylvania,Blair County,42013,1,42013
2016,Pennsylvania,Bucks County,42017,1,42017
2016,Pennsylvania,Carbon County,42025,1,42025
2016,Pennsylvania,Centre County,42027,2,42027
2016,Pennsylvania,Chester County,42029,5,42029
2016,Pennsylvania,Columbia County,42037,1,42037
2016,Pennsylvania,Dauphin County,42043,2,42043
2016,Pennsylvania,Delaware County,42045,1,42045
2016,Pennsylvania,Erie County,42049,2,42049
2016,Pennsylvania,Lackawanna County,42069,1,42069
2016,Pennsylvania,Lancaster County,42071,3,42071
2016,Pennsylvania,Lawrence County,42073,1,42073
2016,Pennsylvania,Lebanon County,42075,1,42075
2016,Pennsylvania,Lehigh County,42077,1,42077
2016,Pennsylvania,Luzerne County,42079,2,42079
2016,Pennsylvania,Monroe County,42089,1,42089
2016,Pennsylvania,Montgomery County,42091,1,42091
2016,Pennsylvania,Northampton County,42095,1,42095
2016,Pennsylvania,Philadelphia County,42101,2,42101
2016,Pennsylvania,Pike County,42103,1,42103
2016,Pennsylvania,Washington County,42125,1,42125
2016,Pennsylvania,York County,42133,1,42133
2016,Rhode Island,Newport County,44005,1,44005
2016,Rhode Island,Providence County,44007,2,44007
2016,South Carolina,Beaufort County,45013,1,45013
2016,South Carolina,Charleston County,45019,3,45019
2016,South Carolina,Dorchester County,45035,1,45035
2016,South Carolina,Greenville County,45045,1,45045
2016,South Carolina,Horry County,45051,1,45051
2016,South Carolina,Lexington County,45063,1,45063
2016,South Carolina,Richland County,45079,1,45079
2016,South Carolina,York County,45091,1,45091
2016,Tennessee,Cumberland County,47035,1,47035
2016,Tennessee,Davidson County,47037,10,47037
2016,Tennessee,Dickson County,47043,1,47043
2016,Tennessee,Hamilton County,47065,16,47065
2016,Tennessee,Madison County,47113,1,47113
2016,Tennessee,Montgomery County,47125,1,47125
2016,Tennessee,Scott County,47151,1,47151
2016,Tennessee,Sevier County,47155,2,47155
2016,Tennessee,Shelby County,47157,3,47157
2016,Tennessee,Sullivan County,47163,1,47163
2016,Tennessee,Williamson County,47187,3,47187
2016,Texas,Aransas County,48007,1,48007
2016,Texas,Austin County,48015,1,48015
2016,Texas,Bexar County,48029,1,48029
2016,Texas,Brazoria County,48039,1,48039
2016,Texas,Brazos County,48041,1,48041
2016,Texas,Calhoun County,48057,1,48057
2016,Texas,Cameron County,48061,1,48061
2016,Texas,Childress County,48075,1,48075
2016,Texas,Collin County,48085,6,48085
2016,Texas,Comal County,48091,1,48091
2016,Texas,Dallas County,48113,13,48113
2016,Texas,Fort Bend County,48157,1,48157
2016,Texas,Galveston County,48167,1,48167
2016,Texas,Guadalupe County,48187,1,48187
2016,Texas,Hamilton County,48193,1,48193
2016,Texas,Harris County,48201,24,48201
2016,Texas,Hays County,48209,1,48209
2016,Texas,Hidalgo County,48215,1,48215
2016,Texas,Hopkins County,48223,1,48223
2016,Texas,Jasper County,48241,1,48241
2016,Texas,Jefferson County,48245,1,48245
2016,Texas,Kendall County,48259,1,48259
2016,Texas,Live Oak County,48297,1,48297
2016,Texas,Matagorda County,48321,1,48321
2016,Texas,Montgomery County,48339,2,48339
2016,Texas,Nolan County,48353,1,48353
2016,Texas,Nueces County,48355,4,48355
2016,Texas,Potter County,48375,1,48375
2016,Texas,Rockwall County,48397,1,48397
2016,Texas,Smith County,48423,2,48423
2016,Texas,Tarrant County,48439,4,48439
2016,Texas,Travis County,48453,11,48453
2016,Texas,Victoria County,48469,2,48469
2016,Texas,Waller County,48473,1,48473
2016,Texas,Ward County,48475,1,48475
2016,Texas,Washington County,48477,1,48477
2016,Texas,Wharton County,48481,1,48481
2016,Texas,Wichita County,48485,1,48485
2016,Texas,Williamson County,48491,2,48491
2016,Utah,Cache County,49005,1,49005
2016,Utah,Salt Lake County,49035,3,49035
2016,Utah,Washington County,49053,2,49053
2016,Virginia,Accomack County,51001,1,51001
2016,Virginia,Albemarle County,51003,1,51003
2016,Virginia,Alexandria city,51510,4,51510
2016,Virginia,Arlington County,51013,8,51013
2016,Virginia,Augusta County,51015,2,51015
2016,Virginia,Chesapeake city,51550,1,51550
2016,Virginia,Chesterfield County,51041,1,51041
2016,Virginia,Culpeper County,51047,1,51047
2016,Virginia,Danville city,51590,3,51590
2016,Virginia,Emporia city,51595,1,51595
2016,Virginia,Fairfax County,51059,10,51059
2016,Virginia,Fauquier County,51061,2,51061
2016,Virginia,Frederick County,51069,2,51069
2016,Virginia,Goochland County,51075,1,51075
2016,Virginia,Halifax County,51083,1,51083
2016,Virginia,Hampton city,51650,2,51650
2016,Virginia,Henrico County,51087,3,51087
2016,Virginia,Loudoun County,51107,4,51107
2016,Virginia,Louisa County,51109,1,51109
2016,Virginia,Lynchburg city,51680,1,51680
2016,Virginia,Madison County,51113,2,51113
2016,Virginia,Montgomery County,51121,3,51121
2016,Virginia,Newport News city,51700,2,51700
2016,Virginia,Norfolk city,51710,3,51710
2016,Virginia,Patrick County,51141,2,51141
2016,Virginia,Portsmouth city,51740,1,51740
2016,Virginia,Prince George County,51149,1,51149
2016,Virginia,Richmond city,51760,5,51760
2016,Virginia,Roanoke County,51161,1,51161
2016,Virginia,Roanoke city,51770,1,51770
2016,Virginia,Rockingham County,51165,2,51165
2016,Virginia,Spotsylvania County,51177,1,51177
2016,Virginia,Virginia Beach city,51810,5,51810
2016,Virginia,Warren County,51187,1,51187
2016,Virginia,Washington County,51191,1,51191
2016,Vermont,Addison County,50001,3,50001
2016,Vermont,Caledonia County,50005,1,50005
2016,Vermont,Chittenden County,50007,8,50007
2016,Vermont,Lamoille County,50015,6,50015
2016,Vermont,Orleans County,50019,1,50019
2016,Vermont,Washington County,50023,8,50023
2016,Vermont,Windham County,50025,5,50025
2016,Vermont,Windsor County,50027,3,50027
2016,Washington,Benton County,53005,1,53005
2016,Washington,Chelan County,53007,3,53007
2016,Washington,Clark County,53011,1,53011
2016,Washington,Franklin County,53021,1,53021
2016,Washington,Island County,53029,2,53029
2016,Washington,King County,53033,33,53033
2016,Washington,Kitsap County,53035,3,53035
2016,Washington,Kittitas County,53037,1,53037
2016,Washington,Lincoln County,53043,1,53043
2016,Washington,Mason County,53045,1,53045
2016,Washington,Okanogan County,53047,1,53047
2016,Washington,Pierce County,53053,4,53053
2016,Washington,San Juan County,53055,4,53055
2016,Washington,Skagit County,53057,3,53057
2016,Washington,Skamania County,53059,1,53059
2016,Washington,Snohomish County,53061,3,53061
2016,Washington,Spokane County,53063,3,53063
2016,Washington,Thurston County,53067,2,53067
2016,Washington,Walla Walla County,53071,1,53071
2016,Washington,Whatcom County,53073,2,53073
2016,Washington,Whitman County,53075,5,53075
2016,Washington,Yakima County,53077,1,53077
2016,Wisconsin,Dane County,55025,5,55025
2016,Wisconsin,Door County,55029,5,55029
2016,Wisconsin,Dunn County,55033,1,55033
2016,Wisconsin,Green County,55045,1,55045
2016,Wisconsin,Milwaukee County,55079,3,55079
2016,Wisconsin,Monroe County,55081,1,55081
2016,Wisconsin,Oneida County,55085,1,55085
2016,Wisconsin,Outagamie County,55087,1,55087
2016,Wisconsin,Washington County,55131,1,55131
2016,Wisconsin,Winnebago County,55139,1,55139
2016,West Virginia,Berkeley County,54003,1,54003
2016,West Virginia,Harrison County,54033,1,54033
2016,West Virginia,Jefferson County,54037,1,54037
2016,West Virginia,Mercer County,54055,1,54055
2016,Wyoming,Natrona County,56025,1,56025
2016,Wyoming,Park County,56029,1,56029
2016,Wyoming,Teton County,56039,4,56039
2017,Alaska,Anchorage Municipality,2020,1,2020
2017,Alaska,Juneau City and Borough,2110,1,2110
2017,Alaska,Kenai Peninsula Borough,2122,1,2122
2017,Alaska,Valdez-Cordova Census Area,2261,2,2261
2017,Alabama,Autauga County,1001,1,1001
2017,Alabama,Baldwin County,1003,1,1003
2017,Alabama,Barbour County,1005,1,1005
2017,Alabama,Cleburne County,1029,1,1029
2017,Alabama,Cullman County,1043,1,1043
2017,Alabama,Elmore County,1051,3,1051
2017,Alabama,Etowah County,1055,1,1055
2017,Alabama,Houston County,1069,2,1069
2017,Alabama,Jefferson County,1073,11,1073
2017,Alabama,Lauderdale County,1077,2,1077
2017,Alabama,Limestone County,1083,1,1083
2017,Alabama,Madison County,1089,1,1089
2017,Alabama,Marengo County,1091,1,1091
2017,Alabama,Mobile County,1097,1,1097
2017,Alabama,Montgomery County,1101,2,1101
2017,Alabama,Russell County,1113,1,1113
2017,Alabama,Shelby County,1117,1,1117
2017,Alabama,St. Clair County,1115,1,1115
2017,Alabama,Tuscaloosa County,1125,1,1125
2017,Arkansas,Benton County,5007,1,5007
2017,Arkansas,Cleburne County,5023,1,5023
2017,Arkansas,Crittenden County,5035,1,5035
2017,Arkansas,Faulkner County,5045,4,5045
2017,Arkansas,Garland County,5051,2,5051
2017,Arkansas,Pulaski County,5119,8,5119
