Year Opened,state,county,county_id,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,Power_Capacity_Level3_kW,Power_Capacity_Level1_kW,Power_Capacity_Level2_kW,Power_Capacity_kW,All_Ports,id
2021,Georgia,Habersham County,13137,2.0,0.0,0.0,400.0,0.0,0.0,400.0,2.0,13137
2021,Georgia,Hall County,13139,0.0,0.0,16.0,0.0,0.0,208.0,208.0,16.0,13139
2021,Georgia,Henry County,13151,12.0,0.0,22.0,2400.0,0.0,286.0,2686.0,34.0,13151
2021,Georgia,Houston County,13153,2.0,0.0,4.0,400.0,0.0,52.0,452.0,6.0,13153
2021,Georgia,Jackson County,13157,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,13157
2021,Georgia,Laurens County,13175,1.0,0.0,2.0,200.0,0.0,26.0,226.0,3.0,13175
2021,Georgia,Lee County,13177,2.0,0.0,2.0,400.0,0.0,26.0,426.0,4.0,13177
2021,Georgia,Liberty County,13179,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,13179
2021,Georgia,Lumpkin County,13187,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,13187
2021,Georgia,McDuffie County,13189,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,13189
2021,Georgia,Monroe County,13207,0.0,0.0,1.0,0.0,0.0,13.0,13.0,1.0,13207
2021,Georgia,Morgan County,13211,8.0,0.0,2.0,1600.0,0.0,26.0,1626.0,10.0,13211
2021,Georgia,Franklin County,13119,1.0,0.0,0.0,200.0,0.0,0.0,200.0,1.0,13119
2021,Georgia,Fayette County,13113,5.0,0.0,14.0,1000.0,0.0,182.0,1182.0,19.0,13113
2021,Georgia,Bulloch County,13031,1.0,0.0,0.0,200.0,0.0,0.0,200.0,1.0,13031
2021,Georgia,Fannin County,13111,0.0,0.0,1.0,0.0,0.0,13.0,13.0,1.0,13111
2021,Georgia,Camden County,13039,1.0,0.0,16.0,200.0,0.0,208.0,408.0,17.0,13039
2021,Georgia,Candler County,13043,1.0,0.0,0.0,200.0,0.0,0.0,200.0,1.0,13043
