SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
50,2,4,38,7,North Dakota,Billings County,946,933,963,1025,1034,-13,30,62,9,0,11,14,14,0,6,8,7,0,5,6,7,0,0,0,0,-11,24,53,1,-11,24,53,1,-2,1,3,1,8,8,8,8,8,11.60337553,14.08450704,13.59883439,6.329113924,8.048289738,6.799417193,5.274261603,6.036217304,6.799417193,0,0,0,25.3164557,53.31991952,0.971345313,25.3164557,53.31991952,0.971345313
50,2,4,38,9,North Dakota,Bottineau County,6383,6388,6448,6384,6349,5,60,-64,-35,13,76,75,74,14,76,68,69,-1,0,7,5,0,2,4,8,5,57,-75,-49,5,59,-71,-41,1,1,0,1,185,185,202,189,189,11.84169523,11.68952619,11.62334093,11.84169523,10.59850374,10.83798005,0,1.091022444,0.785360873,0.311623559,0.623441397,1.256577397,8.881271424,-11.68952618,-7.696536559,9.192894983,-11.06608479,-6.439959161
50,2,4,38,11,North Dakota,Bowman County,2992,2980,2900,2899,2867,-12,-80,-1,-32,10,34,37,30,11,44,39,35,-1,-10,-2,-5,0,0,1,1,-9,-67,2,-28,-9,-67,3,-27,-2,-3,-2,0,45,45,45,45,45,11.56462585,12.76082083,10.40582726,14.9659864,13.45059493,12.14013181,-3.401360544,-0.689774099,-1.734304544,0,0.34488705,0.346860909,-22.78911565,0.689774099,-9.712105446,-22.78911565,1.034661149,-9.365244537
50,2,4,38,13,North Dakota,Burke County,2197,2194,2154,2132,2134,-3,-40,-22,2,4,25,24,22,1,30,20,21,3,-5,4,1,0,0,0,0,-5,-35,-24,1,-5,-35,-24,1,-1,0,-2,0,0,0,0,0,0,11.49954002,11.19925338,10.31411158,13.79944802,9.332711153,9.845288326,-2.299908004,1.866542231,0.468823254,0,0,0,-16.09935603,-11.19925338,0.468823254,-16.09935603,-11.19925338,0.468823254
50,2,4,38,15,North Dakota,Burleigh County,98464,98601,98965,99396,100012,137,364,431,616,308,1174,1171,1144,208,986,899,820,100,188,272,324,1,36,178,318,14,60,40,-27,15,96,218,291,22,80,-59,1,4194,4191,3986,3963,3967,11.88463602,11.80675637,11.47396293,9.981474545,9.064281789,8.224344058,1.903161475,2.742474579,3.249618872,0.364435176,1.794707629,3.189440745,0.60739196,0.403305085,-0.270801573,0.971827136,2.198012714,2.918639172
50,2,4,38,17,North Dakota,Cass County,184517,184876,189377,192713,196362,359,4501,3336,3649,593,2424,2438,2408,388,1338,1392,1273,205,1086,1046,1135,17,231,613,1103,76,3281,1639,1394,93,3512,2252,2497,61,-97,38,17,5757,5751,8105,8413,8412,12.95380398,12.7613913,12.37807621,7.150243285,7.286241461,6.543725503,5.803560693,5.475149834,5.834350704,1.234459042,3.208668115,5.669857997,17.53359359,8.579130571,7.165713551,18.76805263,11.78779869,12.83557155
50,2,4,38,19,North Dakota,Cavalier County,3716,3704,3680,3608,3596,-12,-24,-72,-12,11,42,38,36,17,50,50,47,-6,-8,-12,-11,0,0,-1,1,-7,-17,-62,-1,-7,-17,-63,0,1,1,3,-1,52,52,52,52,52,11.375948,10.42810099,9.994447529,13.54279523,13.72118551,13.0483065,-2.166847237,-3.293084523,-3.053858967,0,-0.27442371,0.277623543,-4.604550379,-17.01427003,-0.277623542,-4.604550379,-17.28869374,0
50,2,4,38,21,North Dakota,Dickey County,4997,4969,4901,4928,4900,-28,-68,27,-28,16,59,64,58,15,84,71,71,1,-25,-7,-13,0,1,8,14,-27,-46,30,-30,-27,-45,38,-16,-2,2,-4,1,356,356,347,352,352,11.95542047,13.02268796,11.8030118,17.0212766,14.44704446,14.44851445,-5.06585613,-1.424356496,-2.645502646,0.202634245,1.627835996,2.849002849,-9.321175279,6.104384983,-6.105006105,-9.118541033,7.732220979,-3.256003256
50,2,4,38,23,North Dakota,Divide County,2195,2205,2182,2169,2135,10,-23,-13,-34,9,18,20,19,7,25,31,30,2,-7,-11,-11,0,0,0,0,10,-15,-1,-23,10,-15,-1,-23,-2,-1,-1,0,41,41,41,41,41,8.206063369,9.193288899,8.828996283,11.39731024,14.24959779,13.94052045,-3.191246866,-5.056308895,-5.111524164,0,0,0,-6.838386141,-0.459664445,-10.68773234,-6.838386141,-0.459664445,-10.68773234
50,2,4,38,25,North Dakota,Dunn County,4094,4098,4018,3994,4019,4,-80,-24,25,14,68,71,69,11,36,43,41,3,32,28,28,0,5,11,22,1,-112,-65,-25,1,-107,-54,-3,0,-5,2,0,80,80,80,80,80,16.75702316,17.72341488,17.22201423,8.871365205,10.73389915,10.23337077,7.88565796,6.989515726,6.988643454,1.232134056,2.745881178,5.491077,-27.59980286,-16.22566151,-6.239860227,-26.3676688,-13.47978033,-0.748783227
50,2,4,38,27,North Dakota,Eddy County,2342,2324,2324,2307,2263,-18,0,-17,-44,5,30,29,31,10,48,48,47,-5,-18,-19,-16,0,0,0,0,-11,19,4,-30,-11,19,4,-30,-2,-1,-2,2,74,74,71,64,64,12.90877797,12.52429281,13.56673961,20.65404475,20.72986396,20.56892779,-7.745266781,-8.205571151,-7.002188184,0,0,0,8.17555938,1.727488663,-13.12910284,8.17555938,1.727488663,-13.12910284
50,2,4,38,29,North Dakota,Emmons County,3298,3286,3257,3254,3224,-12,-29,-3,-30,10,30,36,36,17,52,51,48,-7,-22,-15,-12,0,0,0,0,-5,-7,13,-19,-5,-7,13,-19,0,0,-1,1,59,59,48,47,47,9.170105456,11.05820918,11.11454153,15.89484946,15.66579635,14.8193887,-6.724744001,-4.60758716,-3.704847175,0,0,0,-2.139691273,3.993242206,-5.866008027,-2.139691273,3.993242206,-5.866008027
50,2,4,38,31,North Dakota,Foster County,3395,3387,3364,3380,3309,-8,-23,16,-71,11,44,36,37,9,56,44,43,2,-12,-8,-6,0,0,0,0,-9,-11,26,-65,-9,-11,26,-65,-1,0,-2,0,66,66,66,66,66,13.03510591,10.67615658,11.06293915,16.5901348,13.04863582,12.85692929,-3.555028885,-2.372479241,-1.793990133,0,0,0,-3.258776478,7.710557533,-19.43489311,-3.258776478,7.710557533,-19.43489311
50,2,4,38,33,North Dakota,Golden Valley County,1730,1721,1755,1746,1743,-9,34,-9,-3,4,17,23,18,4,21,19,19,0,-4,4,-1,0,0,0,0,-9,40,-13,-3,-9,40,-13,-3,0,-2,0,1,70,70,70,70,70,9.781357883,13.13910311,10.31814273,12.08285386,10.8540417,10.89137289,-2.301495972,2.285061411,-0.573230152,0,0,0,23.01495972,-7.426449586,-1.719690456,23.01495972,-7.426449586,-1.719690456
50,2,4,38,35,North Dakota,Grand Forks County,73181,73141,72586,72421,72708,-40,-555,-165,287,229,900,860,853,142,545,580,546,87,355,280,307,2,56,154,303,-139,-957,-554,-327,-137,-901,-400,-24,10,-9,-45,4,4227,4222,3880,4299,4299,12.35186342,11.86149634,11.75505929,7.479739513,7.999613812,7.524340414,4.872123903,3.86188253,4.230718878,0.76856039,2.124035391,4.175595505,-13.1341481,-7.641010434,-4.506335743,-12.36558771,-5.516975043,-0.330740238
50,2,4,38,37,North Dakota,Grant County,2299,2286,2303,2238,2215,-13,17,-65,-23,7,22,23,21,9,49,44,43,-2,-27,-21,-22,0,0,6,10,-10,45,-50,-11,-10,45,-44,-1,-1,-1,0,0,64,64,64,62,62,9.588145566,10.12992733,9.431843701,21.35541512,19.37899141,19.31282282,-11.76726956,-9.249064083,-9.880979115,0,2.642589738,4.491354143,19.61211593,-22.02158115,-4.940489558,19.61211593,-19.37899141,-0.449135414
50,2,4,38,39,North Dakota,Griggs County,2300,2291,2281,2249,2248,-9,-10,-32,-1,2,25,25,23,12,31,33,29,-10,-6,-8,-6,0,0,0,0,1,-4,-24,5,1,-4,-24,5,0,0,0,0,85,85,85,85,85,10.93613298,11.03752759,10.22904158,13.5608049,14.56953642,12.89748721,-2.624671916,-3.53200883,-2.66844563,0,0,0,-1.749781277,-10.59602649,2.223704692,-1.749781277,-10.59602649,2.223704692
50,2,4,38,41,North Dakota,Hettinger County,2483,2467,2425,2411,2415,-16,-42,-14,4,6,28,25,24,7,40,30,27,-1,-12,-5,-3,0,0,0,0,-14,-31,-8,7,-14,-31,-8,7,-1,1,-1,0,121,121,121,121,121,11.44726083,10.33912324,9.946125155,16.35322976,12.40694789,11.1893908,-4.905968929,-2.067824648,-1.243265644,0,0,0,-12.67375307,-3.308519438,2.90095317,-12.67375307,-3.308519438,2.90095317
50,2,4,38,43,North Dakota,Kidder County,2389,2382,2354,2381,2342,-7,-28,27,-39,6,26,20,20,6,33,34,28,0,-7,-14,-8,0,0,0,0,-7,-20,42,-30,-7,-20,42,-30,0,-1,-1,-1,0,0,0,0,0,10.97972973,8.447729673,8.469193309,13.93581081,14.36114044,11.85687063,-2.956081081,-5.913410771,-3.387677324,0,0,0,-8.445945946,17.74023231,-12.70378996,-8.445945946,17.74023231,-12.70378996
50,2,4,38,45,North Dakota,LaMoure County,4091,4101,4079,4076,4096,10,-22,-3,20,26,42,51,51,10,57,47,44,16,-15,4,7,0,0,0,0,-5,-8,-7,13,-5,-8,-7,13,-1,1,0,0,247,247,247,247,247,10.26894866,12.50766401,12.48164464,13.93643032,11.52667075,10.76847773,-3.667481663,0.980993256,1.713166911,0,0,0,-1.95599022,-1.716738197,3.181595693,-1.95599022,-1.716738197,3.181595693
