Year,State,Total EV registration
2022,New York,144500
2022,North Carolina,64400
2022,North Dakota,1200
2022,Ohio,51900
2022,Oklahoma,27800
2022,Oregon,69500
2022,Pennsylvania,72800
2022,Rhode Island,7700
2022,South Carolina,20200
2022,South Dakota,2200
2022,Tennessee,30900
2022,Texas,191800
2022,Utah,38200
2022,Vermont,9500
2022,Virginia,78300
2022,Washington,135500
2022,West Virginia,3300
2022,Wisconsin,25700
2022,Wyoming,1400
